Child_ID	Father_ID	Mother_ID	Consistent_Count	Missing_Count	Mendelian_Inhenritance_Error	Mendelian_Consistency_Rate	Mendelian_Inhenritance_Error_Rate	Child_Gender	DV_Caller
HG00700	HG00698	HG00699	4617762	737339	75140	98.399	1.601	female	linear_ref_based
HG00700	HG00698	HG00699	4674312	674300	70580	98.513	1.487	female	pangenome_aware
HG01343	HG01341	HG01342	5216597	781836	92194	98.263	1.737	female	linear_ref_based
HG01343	HG01341	HG01342	5272001	718870	88392	98.351	1.649	female	pangenome_aware
HG01949	HG01947	HG01948	4926264	756526	84406	98.315	1.685	female	linear_ref_based
HG01949	HG01947	HG01948	4984961	691068	79237	98.435	1.565	female	pangenome_aware
HG02495	HG02493	HG02494	4865119	760112	78425	98.414	1.586	female	linear_ref_based
HG02495	HG02493	HG02494	4919689	697595	76928	98.46	1.54	female	pangenome_aware
HG02785	HG02783	HG02784	4831269	772102	86533	98.24	1.76	female	linear_ref_based
HG02785	HG02783	HG02784	4888627	708000	82180	98.347	1.653	female	pangenome_aware
HG03230	HG03228	HG03229	4678366	736769	76922	98.382	1.618	female	linear_ref_based
HG03230	HG03228	HG03229	4725398	676983	75632	98.425	1.575	female	pangenome_aware
HG03719	HG03725	HG03722	4840070	766342	79825	98.378	1.622	female	linear_ref_based
HG03719	HG03725	HG03722	4892159	701191	76166	98.467	1.533	female	pangenome_aware
HG03834	HG03833	HG03832	4898489	752429	80212	98.389	1.611	female	linear_ref_based
HG03834	HG03833	HG03832	4950954	688893	76714	98.474	1.526	female	pangenome_aware
NA18484	NA18486	NA18488	6093606	820641	106490	98.282	1.718	female	linear_ref_based
NA18484	NA18486	NA18488	6150799	747041	100027	98.4	1.6	female	pangenome_aware
NA19659	NA19658	NA19657	4859310	736630	80732	98.366	1.634	female	linear_ref_based
NA19659	NA19658	NA19657	4913148	673398	77169	98.454	1.546	female	pangenome_aware
HG01579	HG01577	HG01578	4656115	716189	72463	98.468	1.532	male	linear_ref_based
HG01579	HG01577	HG01578	4713527	654235	68220	98.573	1.427	male	pangenome_aware
HG01609	HG01608	HG01607	4622131	707734	73553	98.434	1.566	male	linear_ref_based
HG01609	HG01608	HG01607	4674154	643874	67454	98.577	1.423	male	pangenome_aware
HG02584	HG02582	HG02583	5859245	765056	103686	98.261	1.739	male	linear_ref_based
HG02584	HG02582	HG02583	5917690	697671	94572	98.427	1.573	male	pangenome_aware
HG02686	HG02684	HG02685	4550097	723271	74287	98.394	1.606	male	linear_ref_based
HG02686	HG02684	HG02685	4605693	658657	71074	98.48	1.52	male	pangenome_aware
HG02815	HG02813	HG02814	5869476	759938	109023	98.176	1.824	male	linear_ref_based
HG02815	HG02813	HG02814	5921061	690551	101624	98.313	1.687	male	pangenome_aware
HG02838	HG02836	HG02837	5806999	768730	96780	98.361	1.639	male	linear_ref_based
HG02838	HG02836	HG02837	5858601	699223	90027	98.487	1.513	male	pangenome_aware
HG03942	HG03941	HG03940	4721346	731543	78981	98.355	1.645	male	linear_ref_based
HG03942	HG03941	HG03940	4770214	669584	74548	98.461	1.539	male	pangenome_aware
HG04215	HG03679	HG03642	4726623	745257	81384	98.307	1.693	male	linear_ref_based
HG04215	HG03679	HG03642	4781304	681558	78177	98.391	1.609	male	pangenome_aware
NA10865	NA11891	NA11892	4581571	733066	82501	98.231	1.769	male	linear_ref_based
NA10865	NA11891	NA11892	4634854	667505	76293	98.381	1.619	male	pangenome_aware
NA12707	NA12716	NA12717	4575716	732316	73320	98.423	1.577	male	linear_ref_based
NA12707	NA12716	NA12717	4630826	670517	71604	98.477	1.523	male	pangenome_aware
