#PLATFORM	READ_FRAC	Err_TP	Err_FP	Err_FN	Dup_TP	Dup_FP	Dup_FN	Col_TP	Col_FP	Col_FN	Total_FN_FP
ONT_R1041_Dorado	0.00	9968	3037341	0	2126000	1334607	3074016	35539	123752	109829	7679545
ONT_R1041_Dorado	0.05	9968	3037341	0	2126000	1334607	3074016	35539	123752	109829	7679545
ONT_R1041_Dorado	0.10	9968	2997341	0	2166000	1334607	3034016	35539	123752	109829	7599545
ONT_R1041_Dorado	0.15	9968	2965341	0	2190000	1334607	3010016	35539	123752	109829	7543545
ONT_R1041_Dorado	0.20	9968	2946148	0	2198000	1326607	3002016	35539	123752	109829	7508352
ONT_R1041_Dorado	0.25	9968	2866148	0	2262000	1334607	2938016	35539	131752	109829	7380352
ONT_R1041_Dorado	0.30	9968	2809224	0	2270000	1342607	2930016	35539	131752	109829	7323428
ONT_R1041_Dorado	0.35	9968	2698843	0	2342000	1334607	2858016	35539	131752	109829	7133047
ONT_R1041_Dorado	0.40	9968	2578843	0	2398000	1326607	2802016	35539	146486	109829	6963781
ONT_R1041_Dorado	0.45	9968	2377297	0	2598000	1326607	2602016	35539	154486	109829	6570235
ONT_R1041_Dorado	0.50	9968	2185297	0	2790000	1262607	2410016	43539	189752	101829	6149501
ONT_R1041_Dorado	0.55	9968	2081297	0	2894000	1140607	2306016	55346	233945	90022	5851887
ONT_R1041_Dorado	0.60	9968	1929297	0	3022000	1084607	2178016	55346	241945	90022	5523887
ONT_R1041_Dorado	0.65	9968	1796491	0	3102000	996607	2098016	94609	292682	50759	5234555
ONT_R1041_Dorado	0.70	9968	1788491	0	3070000	884607	2130016	102609	367854	42759	5213727
ONT_R1041_Dorado	0.75	9968	1732491	0	3070000	866607	2130016	122475	419988	22893	5171995
ONT_R1041_Dorado	0.80	9968	1716491	0	3070000	606607	2130016	130373	559904	14995	5028013
ONT_R1041_Dorado	0.85	9968	1700491	0	3086000	590607	2114016	130373	652125	14995	5072234
ONT_R1041_Dorado	0.90	9968	1666491	0	3112000	530607	2088016	130373	807573	14995	5107682
ONT_R1041_Dorado	0.95	9968	1642079	0	3136000	466607	2064016	130373	963616	14995	5151313
ONT_R1041_Dorado	1.00	9968	1630079	0	3068000	384607	2132016	130373	1076160	14995	5237857
