#PLATFORM	READ_FRAC	Err_TP	Err_FP	Err_FN	Dup_TP	Dup_FP	Dup_FN	Col_TP	Col_FP	Col_FN	Total_FN_FP
ONT_R941_Guppy6.3.7	0.00	9968	2610713	0	2760000	2416895	2440016	74248	140791	71120	7679535
ONT_R941_Guppy6.3.7	0.05	9968	2610713	0	2760000	2416895	2440016	74248	140791	71120	7679535
ONT_R941_Guppy6.3.7	0.10	9968	2610713	0	2760000	2409661	2440016	74248	140791	71120	7672301
ONT_R941_Guppy6.3.7	0.15	9968	2610713	0	2760000	2393661	2440016	74248	140791	71120	7656301
ONT_R941_Guppy6.3.7	0.20	9968	2514713	0	2824000	2425661	2376016	86055	160984	59313	7536687
ONT_R941_Guppy6.3.7	0.25	9968	2482713	0	2856000	2409661	2344016	91318	182987	54050	7473427
ONT_R941_Guppy6.3.7	0.30	9968	2450713	0	2888000	2409661	2312016	107318	182987	38050	7393427
ONT_R941_Guppy6.3.7	0.35	9968	2410904	0	2888000	2425661	2312016	107318	182987	38050	7369618
ONT_R941_Guppy6.3.7	0.40	9968	2218904	0	3048000	2441661	2152016	107318	182987	38050	7033618
ONT_R941_Guppy6.3.7	0.45	9968	2202957	0	3008000	2433560	2192016	107318	182987	38050	7049570
ONT_R941_Guppy6.3.7	0.50	9968	2011720	0	3152000	2356415	2048016	107318	230987	38050	6685188
ONT_R941_Guppy6.3.7	0.55	9968	1675720	0	3472000	2340415	1728016	111184	243121	34184	6021456
ONT_R941_Guppy6.3.7	0.60	9968	1657869	0	3472000	2260415	1728016	111184	259121	34184	5939605
ONT_R941_Guppy6.3.7	0.65	9968	1505869	0	3616000	2164386	1584016	111184	355121	34184	5643576
ONT_R941_Guppy6.3.7	0.70	9968	1361869	0	3744000	1938415	1456016	111184	414293	34184	5204777
ONT_R941_Guppy6.3.7	0.75	9968	1345869	0	3744000	1790123	1456016	111184	497846	34184	5124038
ONT_R941_Guppy6.3.7	0.80	9968	1256815	0	3824000	1416574	1376016	111184	637397	34184	4720986
ONT_R941_Guppy6.3.7	0.85	9968	1224815	0	3856000	1079380	1344016	111184	760600	34184	4442995
ONT_R941_Guppy6.3.7	0.90	9968	1192815	0	3888000	735399	1312016	111184	798583	34184	4072997
ONT_R941_Guppy6.3.7	0.95	9968	1188009	0	3888000	654134	1312016	111184	830583	34184	4018926
ONT_R941_Guppy6.3.7	1.00	9968	1188009	0	3888000	565481	1312016	134077	892339	11291	3969136
